id,raw_broiler_weight,decrease_broiler_weight,bucket_weight_decrease
1,2060,1540,520
2,1610,1090,520
3,2218,1698,520
4,2320,1800,520
5,2444,1924,520
6,2767,2247,520
7,2088,1568,520
8,2780,2260,520
9,2043,1523,520
10,2260,1740,520
11,2226,1706,520
12,2489,1969,520
13,1773,1253,520
14,2208,1688,520
15,2311,1791,520
16,1956,1436,520
17,2264,1744,520
18,2077,1557,520
19,2660,2140,520
20,2307,1787,520
21,2232,1712,520
22,2050,1530,520
23,2338,1818,520
24,2360,1840,520
25,2331,1811,520
26,2384,1864,520
27,2474,1954,520
28,2330,1810,520
29,2050,1530,520
30,2750,2230,520
31,1824,1304,520
32,2237,1717,520
33,1647,1127,520
34,2523,2003,520
35,2060,1540,520
36,2450,1930,520
37,2269,1749,520
38,2420,1900,520
39,2000,1480,520
40,1992,1472,520
41,2046,1526,520
42,2206,1686,520
43,1721,1201,520
44,2298,1778,520
45,1994,1474,520
46,2274,1754,520
47,2600,2080,520
48,2436,1916,520
49,2510,1990,520
50,2223,1703,520
51,2220,1700,520
52,2445,1925,520
53,2753,2233,520
54,1750,1230,520
55,2008,1488,520
56,1824,1304,520
57,2155,1635,520
58,2350,1830,520
59,2406,1886,520
60,2160,1640,520
61,2215,1695,520
62,2150,1630,520
63,2036,1516,520
64,2106,1476,630
65,2480,1850,630
66,2670,2040,630
67,2370,1740,630
68,2090,1460,630
69,2234,1604,630
70,2280,1650,630
71,2060,1430,630
72,2490,1860,630
73,2385,1755,630
74,2320,1690,630
75,2036,1406,630
76,2325,1695,630
77,2231,1601,630
78,2490,1860,630
79,2088,1458,630
80,2200,1570,630
81,2253,1623,630
82,2434,1804,630
83,2125,1495,630
84,2128,1498,630
85,2610,1980,630
86,2509,1879,630
87,2685,2055,630
88,2353,1723,630
89,2900,2270,630
90,2230,1600,630
91,2090,1460,630
92,2590,1960,630
93,2890,2260,630
94,2458,1828,630
95,2220,1590,630
96,2670,2040,630
97,2077,1447,630
98,2320,1690,630
99,2000,1370,630
100,2160,1530,630
101,2641,2011,630
102,2660,2030,630
103,2160,1530,630
104,2360,1730,630
105,1990,1360,630
106,2020,1390,630
107,2188,1558,630
108,2496,1866,630
109,2290,1660,630
110,1900,1270,630
111,2280,1650,630
112,2470,1840,630
113,2394,1764,630
114,2120,1490,630
115,2200,1570,630
116,2465,1835,630
117,2126,1496,630
118,2330,1700,630
119,2240,1610,630
120,2866,2236,630
121,3335,2705,630
122,2350,1720,630
123,2255,1625,630
124,2225,1595,630
125,2450,1820,630
126,2554,1924,630
127,1960,1330,630
128,2590,1960,630
129,2730,2100,630
130,3060,2430,630
131,2372,1742,630
132,2497,1867,630
133,2300,1670,630
134,2770,2140,630
135,2255,1625,630
136,2409,1779,630
137,2480,1850,630
138,2430,1800,630
139,2300,1670,630
140,2400,1770,630
141,2040,1410,630
142,2535,1905,630
143,2250,1620,630
144,2140,1510,630
145,2400,1770,630
146,3090,2460,630
147,2020,1390,630
148,2300,1670,630
149,2230,1600,630
150,2600,1970,630
151,2520,1890,630
152,1926,1296,630
153,3080,2450,630
154,2350,1720,630
155,2800,2170,630
156,2455,1825,630
157,2140,1510,630
158,2340,1710,630
159,2140,1510,630
160,2290,1660,630
161,1900,1270,630
